35.63,0,0
35.63,0,0
35.63,0,0
35.63,0,0
35.63,0,0
35.56,0,0
35.5,0,0
35.44,0,0
35.38,0,0
35.31,0,0
35.19,0,0
35.13,0,0
35,0,0
34.94,15,1.5
34.81,46,4.6
34.69,78,7.8
34.56,109,10.9
34.44,140,14
34.38,156,15.6
34.25,187,18.7
34.13,218,21.8
34.13,218,21.8
34,250,25
34,250,25
34,250,25
34.06,234,23.4
34.13,218,21.8
34.19,203,20.3
34.31,171,17.1
34.38,156,15.6
34.5,125,12.5
34.63,93,9.3
34.81,46,4.6
34.94,15,1.5
35.06,0,0
35.19,0,0
35.25,0,0
35.31,0,0
35.38,0,0
35.44,0,0
35.44,0,0
35.44,0,0
35.38,0,0
35.38,0,0
35.31,0,0
35.25,0,0
35.19,0,0
35.13,0,0
35.06,0,0
34.94,15,1.5
34.88,31,3.1
34.75,62,6.2
34.63,93,9.3
34.56,109,10.9
34.44,140,14
34.38,156,15.6
34.31,171,17.1
34.19,203,20.3
34.13,218,21.8
34.13,218,21.8
34.13,218,21.8
34.19,203,20.3
34.19,203,20.3
34.25,187,18.7
34.38,156,15.6
34.44,140,14
34.56,109,10.9
34.63,93,9.3
34.75,62,6.2
34.88,31,3.1
35,0,0
35.06,0,0
35.13,0,0
35.25,0,0
35.25,0,0
35.25,0,0
35.25,0,0
35.25,0,0
35.25,0,0
35.19,0,0
35.13,0,0
35.13,0,0
35.06,0,0
35,0,0
34.88,31,3.1
34.81,46,4.6
34.75,62,6.2
34.63,93,9.3
34.56,109,10.9
34.5,125,12.5
34.38,156,15.6
34.31,171,17.1
34.25,187,18.7
34.25,187,18.7
34.25,187,18.7
34.25,187,18.7
34.25,187,18.7
34.31,171,17.1
34.31,171,17.1
34.44,140,14
34.5,125,12.5
34.63,93,9.3
34.69,78,7.8
34.81,46,4.6
34.94,15,1.5
35,0,0
35.06,0,0
35.13,0,0
35.19,0,0
35.19,0,0
35.19,0,0
35.19,0,0
35.19,0,0
35.19,0,0
35.13,0,0
35,0,0
34.94,15,1.5
34.94,15,1.5
34.81,46,4.6
34.75,62,6.2
34.69,78,7.8
34.56,109,10.9
34.44,140,14
34.44,140,14
34.31,171,17.1
34.25,187,18.7
34.25,187,18.7
34.25,187,18.7
34.19,203,20.3
34.25,187,18.7
34.25,187,18.7
34.31,171,17.1
34.38,156,15.6
34.44,140,14
34.56,109,10.9
34.69,78,7.8
34.81,46,4.6
34.88,31,3.1
34.94,15,1.5
35.06,0,0
35.13,0,0
35.19,0,0
35.25,0,0
35.25,0,0
35.25,0,0
35.25,0,0
35.25,0,0
35.19,0,0
35.19,0,0
35.13,0,0
35.06,0,0
34.94,15,1.5
34.88,31,3.1
34.81,46,4.6
34.75,62,6.2
34.69,78,7.8
34.63,93,9.3
34.5,125,12.5
34.44,140,14
34.38,156,15.6
34.31,171,17.1
34.31,171,17.1
34.25,187,18.7
34.25,187,18.7
34.31,171,17.1
34.31,171,17.1
34.38,156,15.6
34.44,140,14
34.56,109,10.9
34.63,93,9.3
34.69,78,7.8
34.81,46,4.6
34.88,31,3.1
34.94,15,1.5
35,0,0
35.06,0,0
35.13,0,0
35.19,0,0
35.13,0,0
35.13,0,0
35.13,0,0
35.13,0,0
35.06,0,0
35,0,0
34.94,15,1.5
34.88,31,3.1
34.81,46,4.6
34.75,62,6.2
34.69,78,7.8
34.56,109,10.9
34.5,125,12.5
34.38,156,15.6
34.31,171,17.1
34.31,171,17.1
34.25,187,18.7
34.25,187,18.7
34.25,187,18.7
34.31,171,17.1
34.31,171,17.1
34.38,156,15.6
34.5,125,12.5
34.56,109,10.9
